Economy,Year,Fuel,Demand
01_AUS,1990,Coal,6.355391344684172
01_AUS,1991,Coal,4.553194367216218
01_AUS,1992,Coal,3.0072733459221865
01_AUS,1993,Coal,2.59359858005158
01_AUS,1994,Coal,2.2119798246724827
01_AUS,1995,Coal,1.8314997021817803
01_AUS,1996,Coal,1.513359910084068
01_AUS,1997,Coal,1.2846255822726587
01_AUS,1998,Coal,1.3450252614942286
01_AUS,1999,Coal,1.6600349231687446
01_AUS,2000,Coal,1.6219155589885936
01_AUS,2001,Coal,0.7817033716753814
01_AUS,2002,Coal,0.8720555277382029
01_AUS,2003,Coal,0.5640943372253149
01_AUS,2004,Coal,0.7701128891813607
01_AUS,2005,Coal,0.6535278385046817
01_AUS,2006,Coal,0.40175439035540794
01_AUS,2007,Coal,0.6793747312533576
01_AUS,2008,Coal,0.9599601745792361
01_AUS,2009,Coal,0.34270929302413755
01_AUS,2010,Coal,0.0
01_AUS,2011,Coal,0.0
01_AUS,2012,Coal,0.194539142444075
01_AUS,2013,Coal,0.14562827980046578
01_AUS,2014,Coal,0.08884878556193954
01_AUS,2015,Coal,0.0
01_AUS,2016,Coal,0.13780624638271632
01_AUS,2017,Coal,0.0
01_AUS,2018,Coal,0.76925279320524
01_AUS,2019,Coal,1.744854538967786
01_AUS,2020,Coal,2.734265977465167
01_AUS,2021,Coal,3.7428681013560983
01_AUS,2022,Coal,4.787980164735814
01_AUS,2023,Coal,5.881552706760964
01_AUS,2024,Coal,7.029786513255125
01_AUS,2025,Coal,8.245745255430705
01_AUS,2026,Coal,9.465114140302369
01_AUS,2027,Coal,10.760414095797216
01_AUS,2028,Coal,12.122293431840319
01_AUS,2029,Coal,13.545626145349551
01_AUS,2030,Coal,15.016586720162806
01_AUS,2031,Coal,16.48559238984157
01_AUS,2032,Coal,17.998244318122083
01_AUS,2033,Coal,19.563797521108597
01_AUS,2034,Coal,21.18110498667575
01_AUS,2035,Coal,22.849096255393874
01_AUS,2036,Coal,24.486970662334585
01_AUS,2037,Coal,26.17712237582529
01_AUS,2038,Coal,27.913098778218632
01_AUS,2039,Coal,29.689866144253863
01_AUS,2040,Coal,31.498058102388512
01_AUS,2041,Coal,33.2672827434158
01_AUS,2042,Coal,35.085628868859196
01_AUS,2043,Coal,36.9534565934603
01_AUS,2044,Coal,38.8690200982206
01_AUS,2045,Coal,40.845556147430344
01_AUS,2046,Coal,42.80170081324184
01_AUS,2047,Coal,44.830017245656364
01_AUS,2048,Coal,46.92498690309881
01_AUS,2049,Coal,49.093090199844696
01_AUS,2050,Coal,51.327313186129544
01_AUS,1990,Elec,3295.845028705318
01_AUS,1991,Elec,3322.6388389865947
01_AUS,1992,Elec,3363.275978211296
01_AUS,1993,Elec,3458.904562616229
01_AUS,1994,Elec,3556.58108322953
01_AUS,1995,Elec,3654.3886798600665
01_AUS,1996,Elec,3755.4846265564897
01_AUS,1997,Elec,3860.4775976883
01_AUS,1998,Elec,3979.3767999451406
01_AUS,1999,Elec,4110.396641559486
01_AUS,2000,Elec,4224.584535284867
01_AUS,2001,Elec,4299.748262805168
01_AUS,2002,Elec,4419.4722591050395
01_AUS,2003,Elec,4518.874864045949
01_AUS,2004,Elec,4641.199721179033
01_AUS,2005,Elec,4744.90073026459
01_AUS,2006,Elec,4838.919534123417
01_AUS,2007,Elec,4955.523336741403
01_AUS,2008,Elec,5071.038062857221
01_AUS,2009,Elec,5142.993844521022
01_AUS,2010,Elec,5220.692951057804
01_AUS,2011,Elec,5185.686745542114
01_AUS,2012,Elec,5195.061387961867
01_AUS,2013,Elec,5172.520391518317
01_AUS,2014,Elec,5150.034028119316
01_AUS,2015,Elec,5122.798626977508
01_AUS,2016,Elec,5112.530000566923
01_AUS,2017,Elec,5076.128907525309
01_AUS,2018,Elec,5103.333241852035
01_AUS,2019,Elec,5130.956256281453
01_AUS,2020,Elec,5159.831219088298
01_AUS,2021,Elec,5190.125285435624
01_AUS,2022,Elec,5222.609392973291
01_AUS,2023,Elec,5257.786368449459
